* 舊版 / 既有技能登錄區
* - 1 到 265 為 repo 原本已存在的技能與舊系統延續技能。
* - 包含玩家技能、法術、職業技能，以及較早就存在的 NPC/猛獸專用技能。
twosword                * 技能號碼   1 SLOT_TWOSWORD
evilfist                * 技能號碼   2 SLOT_EVILFIST
flower                  * 技能號碼   3 SLOT_FLOWER
fouen                   * 技能號碼   4 SLOT_FOUEN
dragon_blade            * 技能號碼   5 SLOT_DRAGON_BLADE
sevencolor              * 技能號碼   6 SLOT_SEVENCOLOR
nine_step               * 技能號碼   7 SLOT_NINE_STEP
lungshan                * 技能號碼   8 SLOT_LUNGSHAN
moon_step               * 技能號碼   9 SLOT_MOON_STEP
linpo_steps             * 技能號碼  10 SLOT_LINPO_STEPS
gwhip                   * 技能號碼  11 SLOT_GWHIP
g_steps                 * 技能號碼  12 SLOT_G_STEPS
gdragon_steps           * 技能號碼  13 SLOT_GDRAGON_STEPS
ryo                     * 技能號碼  14 SLOT_RYO
noname                  * 技能號碼  15 SLOT_NONAME
younggun                * 技能號碼  16 SLOT_YOUNGGUN
cloud_steps             * 技能號碼  17 SLOT_CLOUD_STEPS
longfist                * 技能號碼  18 SLOT_LONGFIST
windleg                 * 技能號碼  19 SLOT_WINDLEG
tigerblade              * 技能號碼  20 SLOT_TIGERBLADE
mirage_steps            * 技能號碼  21 SLOT_MIRAGE_STEPS
lost_steps              * 技能號碼  22 SLOT_LOST_STEPS
eight_steps             * 技能號碼  23 SLOT_EIGHT_STEPS
rulai                   * 技能號碼  24 SLOT_RULAI
night_steps             * 技能號碼  25 SLOT_NIGHT_STEPS
purple                  * 技能號碼  26 SLOT_PURPLE
b_a_1                   * 技能號碼  27 SLOT_B_A_1
cloud_ghost             * 技能號碼  28 SLOT_CLOUD_GHOST
ba_blade                * 技能號碼  29 SLOT_BA_BLADE
shoutsky                * 技能號碼  30 SLOT_SHOUTSKY
fly_blade               * 技能號碼  31 SLOT_FLY_BLADE
badsword                * 技能號碼  32 SLOT_BADSWORD
be_needle               * 技能號碼  33 SLOT_BE_NEEDLE
wind_steps              * 技能號碼  34 SLOT_WIND_STEPS
windcolor_steps         * 技能號碼  35 SLOT_WINDCOLOR_STEPS
color_steps             * 技能號碼  36 SLOT_COLOR_STEPS
king_fist               * 技能號碼  37 SLOT_KING_FIST
know_pen                * 技能號碼  38 SLOT_KNOW_PEN
universe                * 技能號碼  39 SLOT_UNIVERSE
tiger_axe               * 技能號碼  40 SLOT_TIGER_AXE
tendo_slash             * 技能號碼  41 SLOT_TENDO_SLASH
tao_spell               * 技能號碼  42 SLOT_TAO_SPELL
monkey_stick            * 技能號碼  43 SLOT_MONKEY_STICK
ming_snake              * 技能號碼  44 SLOT_MING_SNAKE
dragonleg               * 技能號碼  45 SLOT_DRAGONLEG
dark_word               * 技能號碼  46 SLOT_DARK_WORD
daystick                * 技能號碼  47 SLOT_DAYSTICK
dragon_dagger           * 技能號碼  48 SLOT_DRAGON_DAGGER
skydragon               * 技能號碼  49 SLOT_SKYDRAGON
skydragon_force         * 技能號碼  50 SLOT_SKYDRAGON_FORCE
skydragon_sword         * 技能號碼  51 SLOT_SKYDRAGON_SWORD
dragonfist              * 技能號碼  52 SLOT_DRAGONFIST
dragonsleeve            * 技能號碼  53 SLOT_DRAGONSLEEVE
dream_blade             * 技能號碼  54 SLOT_DREAM_BLADE
dreamdance              * 技能號碼  55 SLOT_DREAMDANCE
drunk                   * 技能號碼  56 SLOT_DRUNK
duansun_sword           * 技能號碼  57 SLOT_DUANSUN_SWORD
dubafist                * 技能號碼  58 SLOT_DUBAFIST
sixfire                 * 技能號碼  59 SLOT_SIXFIRE
fast_blade              * 技能號碼  60 SLOT_FAST_BLADE
